@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
193,151,81,24,112,0.176471,0.650862,0.862857,0.650862,0.137143,0.742015,0.475543,1.36867,0.904415
194,150,82,24,112,0.176471,0.646552,0.862069,0.646552,0.137931,0.738916,0.472826,1.36742,0.913396
195,149,83,24,112,0.176471,0.642241,0.861272,0.642241,0.138728,0.735802,0.470109,1.366155,0.914403
196,148,84,24,112,0.176471,0.637931,0.860465,0.637931,0.139535,0.732673,0.467391,1.364876,0.926274
197,147,85,24,112,0.176471,0.633621,0.859649,0.633621,0.140351,0.729529,0.464674,1.363581,0.928745
198,146,86,24,112,0.176471,0.62931,0.858824,0.62931,0.141176,0.726368,0.461957,1.362272,0.929651
199,145,87,24,112,0.176471,0.625,0.857988,0.625,0.142012,0.723192,0.459239,1.360947,0.932482
200,144,88,24,112,0.176471,0.62069,0.857143,0.62069,0.142857,0.72,0.456522,1.359606,0.933513
201,143,89,24,112,0.176471,0.616379,0.856287,0.616379,0.143713,0.716792,0.453804,1.358249,0.938043
202,143,89,23,113,0.169118,0.616379,0.861446,0.616379,0.138554,0.718593,0.451087,1.366431,0.939305
203,142,90,23,113,0.169118,0.612069,0.860606,0.612069,0.139394,0.715365,0.44837,1.365099,0.944181
204,141,91,23,113,0.169118,0.607759,0.859756,0.607759,0.140244,0.712121,0.445652,1.363751,0.948568
205,140,92,23,113,0.169118,0.603448,0.858896,0.603448,0.141104,0.708861,0.442935,1.362386,0.953366
206,139,93,23,113,0.169118,0.599138,0.858025,0.599138,0.141975,0.705584,0.440217,1.361005,0.955745
207,138,94,23,113,0.169118,0.594828,0.857143,0.594828,0.142857,0.70229,0.4375,1.359606,0.957528
208,137,95,23,113,0.169118,0.590517,0.85625,0.590517,0.14375,0.69898,0.434783,1.35819,0.959105
209,136,96,23,113,0.169118,0.586207,0.855346,0.586207,0.144654,0.695652,0.432065,1.356756,0.963533
210,135,97,23,113,0.169118,0.581897,0.85443,0.581897,0.14557,0.692308,0.429348,1.355303,0.965007
211,134,98,23,113,0.169118,0.577586,0.853503,0.577586,0.146497,0.688946,0.42663,1.353833,0.966536
212,133,99,23,113,0.169118,0.573276,0.852564,0.573276,0.147436,0.685567,0.423913,1.352343,0.969048
213,133,99,22,114,0.161765,0.573276,0.858065,0.573276,0.141935,0.687339,0.421196,1.361068,0.970624
214,132,100,22,114,0.161765,0.568966,0.857143,0.568966,0.142857,0.683938,0.418478,1.359606,0.972031
215,131,101,22,114,0.161765,0.564655,0.856209,0.564655,0.143791,0.680519,0.415761,1.358125,0.972551
216,130,102,22,114,0.161765,0.560345,0.855263,0.560345,0.144737,0.677083,0.413043,1.356624,0.973276
